Unknowns: IL-18
Sample,Well,Signal,Mean,CV,Calc. Concentration,Calc. Conc. Mean,Calc. Conc. CV,Detection Range
ATP 0.1,A03,606.0,606.0,NaN,11.549914760418048,11.549914760418048,NaN,In Detection Range
ATP 0.2,B03,451.0,451.0,NaN,8.322791415300978,8.322791415300978,NaN,In Detection Range
ATP 0.3,C03,548.0,548.0,NaN,10.337571854953143,10.337571854953143,NaN,In Detection Range
ATP 0.4,D03,511.0,511.0,NaN,9.56704700908068,9.56704700908068,NaN,In Detection Range
ATP 0.5,E03,624.0,624.0,NaN,11.927202404981257,11.927202404981257,NaN,In Detection Range
ATP 01.1,F03,782.0,782.0,NaN,15.257727011249216,15.257727011249216,NaN,In Detection Range
ATP 01.2,G03,876.0,876.0,NaN,17.253302570463262,17.253302570463262,NaN,In Detection Range
ATP 01.3,H03,663.0,663.0,NaN,12.746249861372629,12.746249861372629,NaN,In Detection Range
ATP 01.4,A04,628.0,628.0,NaN,12.011108255760412,12.011108255760412,NaN,In Detection Range
ATP 01.5,B04,826.0,826.0,NaN,16.190625700845807,16.190625700845807,NaN,In Detection Range
ATP 02.1,C04,803.0,803.0,NaN,15.70270274097117,15.70270274097117,NaN,In Detection Range
ATP 02.2,D04,585.0,585.0,NaN,11.11035722238851,11.11035722238851,NaN,In Detection Range
ATP 02.3,E04,770.0,770.0,NaN,15.003682902792601,15.003682902792601,NaN,In Detection Range
ATP 02.4,F04,744.0,744.0,NaN,14.45383673869939,14.45383673869939,NaN,In Detection Range
ATP 02.5,G04,622.0,622.0,NaN,11.88525815189179,11.88525815189179,NaN,In Detection Range
ATP 03.1,H04,958.0,958.0,NaN,19.001614235139943,19.001614235139943,NaN,In Detection Range
ATP 03.2,A05,807.0,807.0,NaN,15.787516646385614,15.787516646385614,NaN,In Detection Range
ATP 03.3,B05,702.0,702.0,NaN,13.567369262153406,13.567369262153406,NaN,In Detection Range
ATP 03.4,C05,774.0,774.0,NaN,15.088345642286628,15.088345642286628,NaN,In Detection Range
ATP 03.5,D05,808.0,808.0,NaN,15.808722923550508,15.808722923550508,NaN,In Detection Range
ATP 04.1,E05,1193.0,1193.0,NaN,24.045588367421214,24.045588367421214,NaN,In Detection Range
ATP 04.2,F05,864.0,864.0,NaN,16.998019263507906,16.998019263507906,NaN,In Detection Range
ATP 04.3,G05,1013.0,1013.0,NaN,20.177856558982338,20.177856558982338,NaN,In Detection Range
ATP 04.4,H05,893.0,893.0,NaN,17.615207736616114,17.615207736616114,NaN,In Detection Range
ATP 04.5,A06,992.0,992.0,NaN,19.728418652724404,19.728418652724404,NaN,In Detection Range
ATP 05.1,B06,1369.0,1369.0,NaN,27.85134120020133,27.85134120020133,NaN,In Detection Range
ATP 05.2,C06,1022.0,1022.0,NaN,20.370593950964025,20.370593950964025,NaN,In Detection Range
ATP 05.3,D06,1249.0,1249.0,NaN,25.254101210543183,25.254101210543183,NaN,In Detection Range
ATP 05.4,E06,1038.0,1038.0,NaN,20.713415036319844,20.713415036319844,NaN,In Detection Range
ATP 05.5,F06,1091.0,1091.0,NaN,21.850587531322617,21.850587531322617,NaN,In Detection Range
ATP 06.1,G06,1470.0,1470.0,NaN,30.044825465999345,30.044825465999345,NaN,In Detection Range
ATP 06.2,H06,1194.0,1194.0,NaN,24.067148330899652,24.067148330899652,NaN,In Detection Range
ATP 06.3,A07,1517.0,1517.0,NaN,31.06774424368944,31.06774424368944,NaN,In Detection Range
ATP 06.4,B07,1216.0,1216.0,NaN,24.541658937657523,24.541658937657523,NaN,In Detection Range
ATP 06.5,C07,1247.0,1247.0,NaN,25.210900109597237,25.210900109597237,NaN,In Detection Range
ATP 07.1,D07,1625.0,1625.0,NaN,33.42326409008535,33.42326409008535,NaN,In Detection Range
ATP 07.2,E07,1323.0,1323.0,NaN,26.854552271934278,26.854552271934278,NaN,In Detection Range
ATP 07.3,F07,1635.0,1635.0,NaN,33.641707238592026,33.641707238592026,NaN,In Detection Range
ATP 07.4,G07,1309.0,1309.0,NaN,26.55146865579423,26.55146865579423,NaN,In Detection Range
ATP 07.5,H07,1394.0,1394.0,NaN,28.39366836294847,28.39366836294847,NaN,In Detection Range
ATP 08.1,A08,1867.0,1867.0,NaN,38.72468459049291,38.72468459049291,NaN,In Detection Range
ATP 08.2,B08,1462.0,1462.0,NaN,29.87084720495628,29.87084720495628,NaN,In Detection Range
ATP 08.3,C08,1812.0,1812.0,NaN,37.517140313796055,37.517140313796055,NaN,In Detection Range
ATP 08.4,D08,1492.0,1492.0,NaN,30.52347014839128,30.52347014839128,NaN,In Detection Range
ATP 08.5,E08,1573.0,1573.0,NaN,32.28827660869008,32.28827660869008,NaN,In Detection Range
ATP 09.1,F08,1860.0,1860.0,NaN,38.57091335676734,38.57091335676734,NaN,In Detection Range
ATP 09.2,G08,1593.0,1593.0,NaN,32.72462670475196,32.72462670475196,NaN,In Detection Range
ATP 09.3,H08,1928.0,1928.0,NaN,40.065704947738745,40.065704947738745,NaN,In Detection Range
ATP 09.4,A09,1643.0,1643.0,NaN,33.816502142562776,33.816502142562776,NaN,In Detection Range
ATP 09.5,B09,1672.0,1672.0,NaN,34.4504318400212,34.4504318400212,NaN,In Detection Range
ATP 10.1,C09,2078.0,2078.0,NaN,43.370759160814494,43.370759160814494,NaN,In Detection Range
ATP 10.2,D09,1752.0,1752.0,NaN,36.201572904732004,36.201572904732004,NaN,In Detection Range
ATP 10.3,E09,2137.0,2137.0,NaN,44.67353195414379,44.67353195414379,NaN,In Detection Range
ATP 10.4,F09,1700.0,1700.0,NaN,35.06293985576505,35.06293985576505,NaN,In Detection Range
ATP 10.5,G09,1806.0,1806.0,NaN,37.38550033724836,37.38550033724836,NaN,In Detection Range
ATP 11.1,H09,2217.0,2217.0,NaN,46.4424059451364,46.4424059451364,NaN,In Detection Range
ATP 11.2,A10,1898.0,1898.0,NaN,39.405960884190485,39.405960884190485,NaN,In Detection Range
ATP 11.3,B10,2310.0,2310.0,NaN,48.50208222542022,48.50208222542022,NaN,In Detection Range
ATP 11.4,C10,1865.0,1865.0,NaN,38.68074748165268,38.68074748165268,NaN,In Detection Range
ATP 11.5,D10,1992.0,1992.0,NaN,41.47458986436512,41.47458986436512,NaN,In Detection Range
ATP 12.1,E10,2361.0,2361.0,NaN,49.63306810969918,49.63306810969918,NaN,In Detection Range
ATP 12.2,F10,2020.0,2020.0,NaN,42.09157762546252,42.09157762546252,NaN,In Detection Range
ATP 12.3,G10,2431.0,2431.0,NaN,51.18706605156242,51.18706605156242,NaN,In Detection Range
ATP 12.4,H10,2072.0,2072.0,NaN,43.23835989938177,43.23835989938177,NaN,In Detection Range
ATP 12.5,A11,2167.0,2167.0,NaN,45.33653990717649,45.33653990717649,NaN,In Detection Range
ATP 13.1,B11,2635.0,2635.0,NaN,55.72638915581708,55.72638915581708,NaN,In Detection Range
ATP 13.2,C11,2285.0,2285.0,NaN,47.948058191394836,47.948058191394836,NaN,In Detection Range
ATP 13.3,D11,2776.0,2776.0,NaN,58.87256488029688,58.87256488029688,NaN,In Detection Range
ATP 13.4,E11,2181.0,2181.0,NaN,45.6460756400341,45.6460756400341,NaN,In Detection Range
ATP 13.5,F11,2247.0,2247.0,NaN,47.106429111184895,47.106429111184895,NaN,In Detection Range
ATP 14.1,G11,2703.0,2703.0,NaN,57.242834559801565,57.242834559801565,NaN,In Detection Range
ATP 14.2,H11,2411.0,2411.0,NaN,50.742872780903575,50.742872780903575,NaN,In Detection Range
ATP 14.3,A12,2801.0,2801.0,NaN,59.43110766048786,59.43110766048786,NaN,In Detection Range
ATP 14.4,B12,2303.0,2303.0,NaN,48.34693004028794,48.34693004028794,NaN,In Detection Range
ATP 14.5,C12,2487.0,2487.0,NaN,52.43161874080191,52.43161874080191,NaN,In Detection Range
ATP 15.1,D12,3003.0,3003.0,NaN,63.95166156955671,63.95166156955671,NaN,In Detection Range
ATP 15.2,E12,2507.0,2507.0,NaN,52.87638810272694,52.87638810272694,NaN,In Detection Range
ATP 15.3,F12,3053.0,3053.0,NaN,65.0726178754194,65.0726178754194,NaN,In Detection Range
ATP 15.4,G12,2550.0,2550.0,NaN,53.833144732398374,53.833144732398374,NaN,In Detection Range
ATP 15.5,H12,2549.0,2549.0,NaN,53.81088684807226,53.81088684807226,NaN,In Detection Range
