Unknowns: IL-1β
Sample,Well,Signal,Mean,CV,Calc. Concentration,Calc. Conc. Mean,Calc. Conc. CV,Detection Range
ATP 0.1,A03,10180.0,10180.0,NaN,34.0747240013879,34.0747240013879,NaN,In Detection Range
ATP 0.2,B03,6096.0,6096.0,NaN,19.957307556131163,19.957307556131163,NaN,In Detection Range
ATP 0.3,C03,7970.0,7970.0,NaN,26.407928224606707,26.407928224606707,NaN,In Detection Range
ATP 0.4,D03,8686.0,8686.0,NaN,28.885485260502595,28.885485260502595,NaN,In Detection Range
ATP 0.5,E03,10303.0,10303.0,NaN,34.50303691324149,34.50303691324149,NaN,In Detection Range
ATP 01.1,F03,13824.0,13824.0,NaN,46.82398090750592,46.82398090750592,NaN,In Detection Range
ATP 01.2,G03,14396.0,14396.0,NaN,48.835353398756126,48.835353398756126,NaN,In Detection Range
ATP 01.3,H03,10570.0,10570.0,NaN,35.433323707909075,35.433323707909075,NaN,In Detection Range
ATP 01.4,A04,10754.0,10754.0,NaN,36.07483855154236,36.07483855154236,NaN,In Detection Range
ATP 01.5,B04,13493.0,13493.0,NaN,45.66120828568008,45.66120828568008,NaN,In Detection Range
ATP 02.1,C04,16927.0,16927.0,NaN,57.7633794839087,57.7633794839087,NaN,In Detection Range
ATP 02.2,D04,9328.0,9328.0,NaN,31.11231159578124,31.11231159578124,NaN,In Detection Range
ATP 02.3,E04,12079.0,12079.0,NaN,40.70400677122158,40.70400677122158,NaN,In Detection Range
ATP 02.4,F04,13369.0,13369.0,NaN,45.22583022705643,45.22583022705643,NaN,In Detection Range
ATP 02.5,G04,10563.0,10563.0,NaN,35.408924937709195,35.408924937709195,NaN,In Detection Range
ATP 03.1,H04,19388.0,19388.0,NaN,66.48375218980591,66.48375218980591,NaN,In Detection Range
ATP 03.2,A05,14208.0,14208.0,NaN,48.17399951574914,48.17399951574914,NaN,In Detection Range
ATP 03.3,B05,11622.0,11622.0,NaN,39.10554002696414,39.10554002696414,NaN,In Detection Range
ATP 03.4,C05,13012.0,13012.0,NaN,43.97305353833452,43.97305353833452,NaN,In Detection Range
ATP 03.5,D05,14312.0,14312.0,NaN,48.53982213686024,48.53982213686024,NaN,In Detection Range
ATP 04.1,E05,24681.0,24681.0,NaN,85.34908686008328,85.34908686008328,NaN,In Detection Range
ATP 04.2,F05,16283.0,16283.0,NaN,55.48756893896188,55.48756893896188,NaN,In Detection Range
ATP 04.3,G05,20011.0,20011.0,NaN,68.69684163540404,68.69684163540404,NaN,In Detection Range
ATP 04.4,H05,16991.0,16991.0,NaN,57.98969275501429,57.98969275501429,NaN,In Detection Range
ATP 04.5,A06,18579.0,18579.0,NaN,63.61317485135323,63.61317485135323,NaN,In Detection Range
ATP 05.1,B06,28930.0,28930.0,NaN,100.58475361851498,100.58475361851498,NaN,In Detection Range
ATP 05.2,C06,21043.0,21043.0,NaN,72.367417153618,72.367417153618,NaN,In Detection Range
ATP 05.3,D06,25459.0,25459.0,NaN,88.13316133154562,88.13316133154562,NaN,In Detection Range
ATP 05.4,E06,21043.0,21043.0,NaN,72.367417153618,72.367417153618,NaN,In Detection Range
ATP 05.5,F06,22397.0,22397.0,NaN,77.19155666201166,77.19155666201166,NaN,In Detection Range
ATP 06.1,G06,37854.0,37854.0,NaN,132.79704735862532,132.79704735862532,NaN,In Detection Range
ATP 06.2,H06,26012.0,26012.0,NaN,90.1136553991909,90.1136553991909,NaN,In Detection Range
ATP 06.3,A07,32755.0,32755.0,NaN,114.35907576497854,114.35907576497854,NaN,In Detection Range
ATP 06.4,B07,24397.0,24397.0,NaN,84.33345431770742,84.33345431770742,NaN,In Detection Range
ATP 06.5,C07,27949.0,27949.0,NaN,97.06071760695495,97.06071760695495,NaN,In Detection Range
ATP 07.1,D07,41083.0,41083.0,NaN,144.51318126990827,144.51318126990827,NaN,In Detection Range
ATP 07.2,E07,29179.0,29179.0,NaN,101.47981898202927,101.47981898202927,NaN,In Detection Range
ATP 07.3,F07,36851.0,36851.0,NaN,129.16385491546924,129.16385491546924,NaN,In Detection Range
ATP 07.4,G07,30029.0,30029.0,NaN,104.53700752416884,104.53700752416884,NaN,In Detection Range
ATP 07.5,H07,31242.0,31242.0,NaN,108.90435425656965,108.90435425656965,NaN,In Detection Range
ATP 08.1,A08,50751.0,50751.0,NaN,179.75397275653435,179.75397275653435,NaN,In Detection Range
ATP 08.2,B08,32996.0,32996.0,NaN,115.228657584561,115.228657584561,NaN,In Detection Range
ATP 08.3,C08,43482.0,43482.0,NaN,153.23614143705709,153.23614143705709,NaN,In Detection Range
ATP 08.4,D08,35529.0,35529.0,NaN,124.3797709286714,124.3797709286714,NaN,In Detection Range
ATP 08.5,E08,37384.0,37384.0,NaN,131.09418305044179,131.09418305044179,NaN,In Detection Range
ATP 09.1,F08,54058.0,54058.0,NaN,191.85788693482976,191.85788693482976,NaN,In Detection Range
ATP 09.2,G08,40007.0,40007.0,NaN,140.60576788679896,140.60576788679896,NaN,In Detection Range
ATP 09.3,H08,49603.0,49603.0,NaN,175.5577732235578,175.5577732235578,NaN,In Detection Range
ATP 09.4,A09,39050.0,39050.0,NaN,137.1331927937689,137.1331927937689,NaN,In Detection Range
ATP 09.5,B09,38627.0,38627.0,NaN,135.59911867324706,135.59911867324706,NaN,In Detection Range
