Auto_Created_Unknown: IL-18
Sample,Well,Signal,Mean,CV,Calc. Concentration,Calc. Conc. Mean,Calc. Conc. CV,Detection Range
Nig 07.1,A03,12274.0,12274.0,NaN,762.6580065095642,762.6580065095642,NaN,In Detection Range
Nig 07.2,B03,13476.0,13476.0,NaN,838.874594887971,838.874594887971,NaN,In Detection Range
Nig 07.3,C03,13889.0,13889.0,NaN,865.090094923303,865.090094923303,NaN,In Detection Range
Nig 07.4,D03,12202.0,12202.0,NaN,758.096580068265,758.096580068265,NaN,In Detection Range
Nig 07.5,E03,10385.0,10385.0,NaN,643.1414203634577,643.1414203634577,NaN,In Detection Range
Nig 08.1,F03,11094.0,11094.0,NaN,687.9603918210468,687.9603918210468,NaN,In Detection Range
Nig 08.2,G03,12881.0,12881.0,NaN,801.1313522811937,801.1313522811937,NaN,In Detection Range
Nig 08.3,H03,14082.0,14082.0,NaN,877.3456706133329,877.3456706133329,NaN,In Detection Range
Nig 08.4,A04,13302.0,13302.0,NaN,827.8340093194907,827.8340093194907,NaN,In Detection Range
Nig 08.5,B04,10361.0,10361.0,NaN,641.6251377533747,641.6251377533747,NaN,In Detection Range
Nig 09.1,C04,11115.0,11115.0,NaN,689.2886311622915,689.2886311622915,NaN,In Detection Range
Nig 09.2,D04,13499.0,13499.0,NaN,840.3341702453664,840.3341702453664,NaN,In Detection Range
Nig 09.3,E04,13828.0,13828.0,NaN,861.2171964507301,861.2171964507301,NaN,In Detection Range
Nig 09.4,F04,12156.0,12156.0,NaN,755.1825755631774,755.1825755631774,NaN,In Detection Range
Nig 09.5,G04,10391.0,10391.0,NaN,643.5204999781217,643.5204999781217,NaN,In Detection Range
Nig 10.1,H04,11296.0,11296.0,NaN,700.7385141874742,700.7385141874742,NaN,In Detection Range
Nig 10.2,A05,14737.0,14737.0,NaN,918.96052640107,918.96052640107,NaN,In Detection Range
Nig 10.3,B05,13978.0,13978.0,NaN,870.7412570991817,870.7412570991817,NaN,In Detection Range
Nig 10.4,C05,12168.0,12168.0,NaN,755.9427325620632,755.9427325620632,NaN,In Detection Range
Nig 10.5,D05,10409.0,10409.0,NaN,644.6577603065879,644.6577603065879,NaN,In Detection Range
Nig 11.1,E05,11112.0,11112.0,NaN,689.0988801271859,689.0988801271859,NaN,In Detection Range
Nig 11.2,F05,12978.0,12978.0,NaN,807.2824190527531,807.2824190527531,NaN,In Detection Range
Nig 11.3,G05,13821.0,13821.0,NaN,860.7727847753105,860.7727847753105,NaN,In Detection Range
Nig 11.4,H05,11942.0,11942.0,NaN,741.6285976621219,741.6285976621219,NaN,In Detection Range
Nig 11.5,A06,11377.0,11377.0,NaN,705.8634900839154,705.8634900839154,NaN,In Detection Range
Nig 12.1,B06,11607.0,11607.0,NaN,720.4192098626778,720.4192098626778,NaN,In Detection Range
Nig 12.2,C06,13790.0,13790.0,NaN,858.8047237603405,858.8047237603405,NaN,In Detection Range
Nig 12.3,D06,13293.0,13293.0,NaN,827.2630129856803,827.2630129856803,NaN,In Detection Range
Nig 12.4,E06,11688.0,11688.0,NaN,725.5465139891822,725.5465139891822,NaN,In Detection Range
Nig 12.5,F06,9475.0,9475.0,NaN,585.690099091245,585.690099091245,NaN,In Detection Range
Nig 13.1,G06,10742.0,10742.0,NaN,665.7028406986557,665.7028406986557,NaN,In Detection Range
Nig 13.2,H06,10126.0,10126.0,NaN,626.7812537044368,626.7812537044368,NaN,In Detection Range
Nig 13.3,A07,15230.0,15230.0,NaN,950.3049086555217,950.3049086555217,NaN,In Detection Range
Nig 13.4,B07,12124.0,12124.0,NaN,753.1555527537266,753.1555527537266,NaN,In Detection Range
Nig 13.5,C07,10718.0,10718.0,NaN,664.185715192969,664.185715192969,NaN,In Detection Range
Nig 14.1,D07,11308.0,11308.0,NaN,701.4977312118617,701.4977312118617,NaN,In Detection Range
Nig 14.2,E07,13219.0,13219.0,NaN,822.5684105918722,822.5684105918722,NaN,In Detection Range
Nig 14.3,F07,13612.0,13612.0,NaN,847.5057604096418,847.5057604096418,NaN,In Detection Range
Nig 14.4,G07,12282.0,12282.0,NaN,763.1648599181145,763.1648599181145,NaN,In Detection Range
Nig 14.5,H07,10730.0,10730.0,NaN,664.9442709503235,664.9442709503235,NaN,In Detection Range
Nig 15.1,A08,12646.0,12646.0,NaN,786.2326162860571,786.2326162860571,NaN,In Detection Range
Nig 15.2,B08,13263.0,13263.0,NaN,825.3597406682942,825.3597406682942,NaN,In Detection Range
Nig 15.3,C08,13733.0,13733.0,NaN,855.1862349238572,855.1862349238572,NaN,In Detection Range
Nig 15.4,D08,12063.0,12063.0,NaN,749.2917929451337,749.2917929451337,NaN,In Detection Range
Nig 15.5,E08,10280.0,10280.0,NaN,636.5081085320633,636.5081085320633,NaN,In Detection Range
Nig 16.1,F08,11129.0,11129.0,NaN,690.1741472572611,690.1741472572611,NaN,In Detection Range
Nig 16.2,G08,13234.0,13234.0,NaN,823.5199822039048,823.5199822039048,NaN,In Detection Range
Nig 16.3,H08,13699.0,13699.0,NaN,853.0279641594572,853.0279641594572,NaN,In Detection Range
Nig 16.4,A09,13260.0,13260.0,NaN,825.1694175684345,825.1694175684345,NaN,In Detection Range
Nig 16.5,B09,10940.0,10940.0,NaN,678.221251350304,678.221251350304,NaN,In Detection Range
Nig 17.1,C09,11476.0,11476.0,NaN,712.1281786650748,712.1281786650748,NaN,In Detection Range
Nig 17.2,D09,13690.0,13690.0,NaN,852.4566729894971,852.4566729894971,NaN,In Detection Range
Nig 17.3,E09,14224.0,14224.0,NaN,886.3646343147286,886.3646343147286,NaN,In Detection Range
Nig 17.4,F09,12195.0,12195.0,NaN,757.6531325025218,757.6531325025218,NaN,In Detection Range
Nig 17.5,G09,10602.0,10602.0,NaN,656.8537331789789,656.8537331789789,NaN,In Detection Range
Nig 18.1,H09,11653.0,11653.0,NaN,723.3309385345459,723.3309385345459,NaN,In Detection Range
Nig 18.2,A10,14133.0,14133.0,NaN,880.5846904666422,880.5846904666422,NaN,In Detection Range
Nig 18.3,B10,13778.0,13778.0,NaN,858.0429146598036,858.0429146598036,NaN,In Detection Range
Nig 18.4,C10,12133.0,12133.0,NaN,753.7256437209572,753.7256437209572,NaN,In Detection Range
Nig 18.5,D10,10467.0,10467.0,NaN,648.322484604834,648.322484604834,NaN,In Detection Range
Nig 19.1,E10,11099.0,11099.0,NaN,688.2766354928598,688.2766354928598,NaN,In Detection Range
Nig 19.2,F10,13315.0,13315.0,NaN,828.6587937187467,828.6587937187467,NaN,In Detection Range
Nig 19.3,G10,13920.0,13920.0,NaN,867.0584046603618,867.0584046603618,NaN,In Detection Range
Nig 19.4,A11,12839.0,12839.0,NaN,798.4682523059938,798.4682523059938,NaN,In Detection Range
Nig 19.5,H10,10858.0,10858.0,NaN,673.0364006207261,673.0364006207261,NaN,In Detection Range
Nig 20.1,B11,11796.0,11796.0,NaN,732.3838507857939,732.3838507857939,NaN,In Detection Range
Nig 20.2,C11,13955.0,13955.0,NaN,869.2807831480669,869.2807831480669,NaN,In Detection Range
Nig 20.3,D11,13890.0,13890.0,NaN,865.1535875728648,865.1535875728648,NaN,In Detection Range
