Auto_Created_Unknown: IL-1β
Sample,Well,Signal,Mean,CV,Calc. Concentration,Calc. Conc. Mean,Calc. Conc. CV,Detection Range
Nig 07.1,A03,301488.0,301488.0,NaN,2369.285321330481,2369.285321330481,NaN,In Detection Range
Nig 07.2,B03,285088.0,285088.0,NaN,2236.7732203905416,2236.7732203905416,NaN,In Detection Range
Nig 07.3,C03,275860.0,275860.0,NaN,2162.30734509131,2162.30734509131,NaN,In Detection Range
Nig 07.4,D03,294988.0,294988.0,NaN,2316.7395880097783,2316.7395880097783,NaN,In Detection Range
Nig 07.5,E03,244588.0,244588.0,NaN,1910.5073122686847,1910.5073122686847,NaN,In Detection Range
Nig 08.1,F03,274390.0,274390.0,NaN,2150.4517021971665,2150.4517021971665,NaN,In Detection Range
Nig 08.2,G03,296840.0,296840.0,NaN,2331.707686075057,2331.707686075057,NaN,In Detection Range
Nig 08.3,H03,281119.0,281119.0,NaN,2204.736445100357,2204.736445100357,NaN,In Detection Range
Nig 08.4,A04,318324.0,318324.0,NaN,2505.5383585373233,2505.5383585373233,NaN,In Detection Range
Nig 08.5,B04,232986.0,232986.0,NaN,1817.319465042796,1817.319465042796,NaN,In Detection Range
Nig 09.1,C04,297118.0,297118.0,NaN,2333.9547517549504,2333.9547517549504,NaN,In Detection Range
Nig 09.2,D04,296461.0,296461.0,NaN,2328.6443388933862,2328.6443388933862,NaN,In Detection Range
Nig 09.3,E04,274479.0,274479.0,NaN,2151.169440564045,2151.169440564045,NaN,In Detection Range
Nig 09.4,F04,296121.0,296121.0,NaN,2325.8963141919908,2325.8963141919908,NaN,In Detection Range
Nig 09.5,G04,246553.0,246553.0,NaN,1926.3031144155066,1926.3031144155066,NaN,In Detection Range
Nig 10.1,H04,287980.0,287980.0,NaN,2260.124882245107,2260.124882245107,NaN,In Detection Range
Nig 10.2,A05,308988.0,308988.0,NaN,2429.955890836865,2429.955890836865,NaN,In Detection Range
Nig 10.3,B05,270896.0,270896.0,NaN,2122.2797762367177,2122.2797762367177,NaN,In Detection Range
Nig 10.4,C05,303953.0,303953.0,NaN,2389.22092835269,2389.22092835269,NaN,In Detection Range
Nig 10.5,D05,231278.0,231278.0,NaN,1803.6118818185746,1803.6118818185746,NaN,In Detection Range
Nig 11.1,E05,287648.0,287648.0,NaN,2257.44377731593,2257.44377731593,NaN,In Detection Range
Nig 11.2,F05,278083.0,278083.0,NaN,2180.2394567094584,2180.2394567094584,NaN,In Detection Range
Nig 11.3,G05,282304.0,282304.0,NaN,2214.3001032347775,2214.3001032347775,NaN,In Detection Range
Nig 11.4,H05,288693.0,288693.0,NaN,2265.8831004058247,2265.8831004058247,NaN,In Detection Range
Nig 11.5,A06,251761.0,251761.0,NaN,1968.1855551487713,1968.1855551487713,NaN,In Detection Range
Nig 12.1,B06,278774.0,278774.0,NaN,2185.814344258949,2185.814344258949,NaN,In Detection Range
Nig 12.2,C06,295365.0,295365.0,NaN,2319.7863289867832,2319.7863289867832,NaN,In Detection Range
Nig 12.3,D06,269252.0,269252.0,NaN,2109.0279304081714,2109.0279304081714,NaN,In Detection Range
Nig 12.4,E06,290824.0,290824.0,NaN,2283.0956031196774,2283.0956031196774,NaN,In Detection Range
Nig 12.5,F06,215248.0,215248.0,NaN,1675.1081499495053,1675.1081499495053,NaN,In Detection Range
Nig 13.1,G06,280159.0,280159.0,NaN,2196.9895284309273,2196.9895284309273,NaN,In Detection Range
